estimate,b1,b2,ci1,ci2,metric,thresh,lag_pr,lag_rh,lag_temp
0.2267701087925807,0.2191154272501909,0.23461450958174335,0.21901972842693715,0.23452048915822424,recall,0.9750000000000001,0,0,0
0.7999769505589489,0.7961860295307197,0.8037140225329041,0.7962128169583375,0.8037410841595604,accuracy,0.9750000000000001,0,0,0
0.9972549019607844,0.9943544885586048,0.9986451447071693,0.9952240980044907,0.999285705917078,precision,0.9750000000000001,0,0,0
0.9997824127319636,0.9995517527160787,0.999892638861561,0.9996212393655518,0.9999435860983753,specificity,0.9750000000000001,0,0,0
0.3695146759662889,NA,NA,0.3614509255699203,0.3775784263626575,F1,0.9750000000000001,0,0,0
9.809167112537899e-4,5.530006622718835e-4,0.0017542951739899033,4.0151635983334745e-4,0.0015603170626742324,recall,1,0,0,0
0.7417771119050363,0.7376372788649648,0.7458735433451105,0.7376587894115554,0.7458954343985171,accuracy,1,0,0,0
1,0.7353515306029488,0.9978924067681397,1,1,precision,1,0,0,0
1,0.9998853453942383,0.9999992130486751,1,1,specificity,1,0,0,0
0.0019599109131403117,NA,NA,0.0011417192401204207,0.0027781025861602026,F1,1,0,0,0
1,0.9996711303753313,0.9999977425074091,1,1,recall,0,1,1,1
0.2584764319465253,0.25437866082745486,0.26261755915185303,0.2543567923394241,0.2625960715536265,accuracy,0,1,1,1
0.2584764319465253,0.25437866082745486,0.26261755915185303,0.2543567923394241,0.2625960715536265,precision,0,1,1,1
0,7.869513248274057e-7,1.146546057616213e-4,0,0,specificity,0,1,1,1
0.41077675415300646,NA,NA,0.4066500190460646,0.4149034892599483,F1,0,1,1,1
0.9859104690565365,0.9835552955651276,0.987928316380005,0.9837290314178915,0.9880919066951814,recall,0.025,1,1,1
0.7286389305059352,0.724434372176196,0.7328024456755807,0.7244546939701058,0.7328231670417646,accuracy,0.025,1,1,1
